@relation dataset-weka.filters.supervised.attribute.NominalToBinary-weka.filters.supervised.attribute.NominalToBinary

@attribute president numeric
@attribute communities numeric
@attribute clinic numeric
@attribute court numeric
@attribute french numeric
@attribute barack numeric
@attribute countries numeric
@attribute people numeric
@attribute funes numeric
@attribute confirmed numeric
@attribute sales numeric
@attribute saab numeric
@attribute government numeric
@attribute industry numeric
@attribute commission numeric
@attribute final numeric
@attribute reported numeric
@attribute million numeric
@attribute recession numeric
@attribute cricket numeric
@attribute death numeric
@attribute told numeric
@attribute windows numeric
@attribute health numeric
@attribute rose numeric
@attribute system numeric
@attribute european numeric
@attribute russian numeric
@attribute operating numeric
@attribute funeral numeric
@attribute bankruptcy numeric
@attribute auto numeric
@attribute air numeric
@attribute tournament numeric
@attribute finals numeric
@attribute television numeric
@attribute europe numeric
@attribute killed numeric
@attribute data numeric
@attribute pandemic numeric
@attribute oil numeric
@attribute paris numeric
@attribute stake numeric
@attribute bongo numeric
@attribute browser numeric
@attribute france numeric
@attribute india numeric
@attribute dollar numeric
@attribute obama numeric
@attribute united numeric
@attribute markets numeric
@attribute seed numeric
@attribute dollars numeric
@attribute officials numeric
@attribute web numeric
@attribute heiner numeric
@attribute flight numeric
@attribute chrysler numeric
@attribute gmt numeric
@attribute plane numeric
@attribute days numeric
@attribute tobacco numeric
@attribute south numeric
@attribute world numeric
@attribute body numeric
@attribute percent numeric
@attribute monday numeric
@attribute glycogen numeric
@attribute study numeric
@attribute military numeric
@attribute explorer numeric
@attribute police numeric
@attribute official numeric
@attribute bank numeric
@attribute wickets numeric
@attribute korea numeric
@attribute swine numeric
@attribute index numeric
@attribute thursday numeric
@attribute billion numeric
@attribute global numeric
@attribute economy numeric
@attribute flu numeric
@attribute economic numeric
@attribute country numeric
@attribute lightning numeric
@attribute market numeric
@attribute boyle numeric
@attribute company numeric
@attribute browsers numeric
@attribute match numeric
@attribute violent numeric
@attribute internet numeric
@attribute administration numeric
@attribute quarter numeric
@attribute car numeric
@attribute set numeric
@attribute virus numeric
@attribute children numeric
@attribute former numeric
@attribute north numeric
@attribute disease numeric
@attribute war numeric
@attribute microsoft numeric
@attribute england numeric
@attribute seats numeric
@attribute africa numeric
@attribute h1n1 numeric
@attribute bongo*s numeric
@attribute rear numeric
@attribute game numeric
@attribute win numeric
@attribute recovery numeric
@attribute months numeric
@attribute motors numeric
@attribute plan numeric
@attribute twenty20 numeric
@attribute prices numeric
@attribute facing numeric
@attribute competition numeric
@attribute ClassLable {0,1,2,3,4,5,6,7}

@data
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7
1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4
1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,6
1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,7
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6
